s1	Individuell beskattning av arbetsinkomster
s3374	Symptomen kan bli så allvarliga att en sjukhusvistelse blir nödvändig .
s3384	Omkring hälften av dem som insjuknar blir psykiskt invalidiserade under flera år eller för resten av sitt liv .
s3394	Eftersom man med mycket små doser av vissa gifter kan framkalla övergående schizofreni-symptom hos friska personer , tänker man sig att sjukdomen skulle kunna bero på ämnesomsättnings-rubbnin .
s3404	Dels blir patienten efter hand lätt beroende av dem och dels har de en negativ inverkan på tankeförmåga och vakenhet .
s3414	Den ena består av de dämpande , rogivande medlen .
s3424	Ett annat är Lergigan , som användes mot sjösjuka och allergier men också som lugnande medel och sömnmedel .
s3434	Ett nytt medel , som har visat sig kunna förebygga depressioner hos manisk-depressiva patienter , är alkalimetallen litium , nära besläktad med natrium .
s3444	Till sin kemiska sammansättning påminner hallucinogenerna om vissa monoaminer .
s3454	Man har använt dem på grund av deras verkningar på nervsystemet utan att känna till dessas fysiologiska natur .
s3464	Regelbundet bruk av alkohol och narkotika leder ofta till att kroppen vänjer sig vid dem .
s3474	De tidigare nämnda lugnande medlen har samma verkningar , men det tar betydligt längre tid och fordrar betydligt större doser .
s3484	Samtidigt företas en ' avgiftning ' genom att den sjuke långsamt avvänjes med allt mindre doser av giftet i fråga .
s3494	Det är en arbetsfördelning som sedan utan större förändringar har levt vidare i det typiska jordbrukarsamhället .
s3504	Polygyni och polyandri kallas med ett gemensamt namn för polygami .
s3514	Gruppäktenskap ... 0
s3524	I den extremt patriarkaliska familjen är en man , i regel den äldste , den maktutövande .
s3534	Mannen representerar familjen utåt , är den som för familjens talan .
s3544	I en undersökning som Gustav Jonsson och Anna-Lisa Kälvestam gjorde av ett urval Stockholmspojkar ställde man frågor som rörde den här saken .
s3554	Tv gav familjen en ny samlingspunkt .
s3564	Den religiösa funktionen .
s3574	Det finns en lång tradition i vårt land att acceptera föräktenskapliga förbindelser ( i vissa former ) men det förefaller vara sannolikt att de föräktenskapliga och utomäktenskapliga förbindelserna har ökat .
s3584	Bara för några hundra år sedan var folkökningen långsam och reglerades bl. a. genom en hög barndödlighet och en relativt kort livslängd .
s3594	Produktionen av livsmedel skulle redan nu behöva ökas med 50 % för att avhjälpa svälten , och vid början av nästa sekel skulle den behöva vara tre gånger så stor som i dag .
s3604	Föroreningen av sjöar och havsområden måste upphöra , så att vattnens produktivitet inte minskar .
s3614	' Ökenträdgård ' i Israel , skapad genom saltvattenbevattning ( 0,2 - 0,6 % salt i vattnet ) .
s3624	Vissa nyodlade jordar gav mycket dålig avkastning , trots att de brukades och gödslades enligt gängse metoder .
s3634	Växtsjukdomar och skadedjur minskar utbytet av odlingen och skadar produkterna under lagring och transport .
s3644	Men det är viktigt , att förlusterna inte blir onödigt stora .
s3654	Till större delen går fångsterna åt för att täcka dessa länders egna behov .
s3664	En omfattande forskning bedrivs också över odlingsmetoder och algernas användning .
s3674	För detta har man använt jästsvampar och vissa bakterier .
s3684	( Barbro Backberger i DN 24 / 12 1965 . )
s3694	De besvaras ibland med påståendet , att äktenskapet är en ren privatsak , som inte angår samhället .
s3704	De som frivilligt genomgår denna akt inför myndighet med vigselakt etablerar sig därmed i samhället som äkta makar .
s3714	Äktenskapet är alltså en institution eller ordning i samhället .
s3724	Kring dessa och andra faktorer utformades sociala , moraliska och religiösa mönster och ideal , som upplevdes som förpliktande till sammanhållning .
s3734	Det är inte längre som medlemmar av den eller den gruppen i samhället som moderna människor ingår äktenskap utan som individer med självklar rätt att välja efter eget val .
s3744	Vad är min plikt mot andra och samhället ?
s3754	För katolikerna är äktenskapet ett sakrament
s3764	Denna upplevelse innebär emellertid inte bara lycka utan denna lycka blir en kraft som hjälper makarna att mogna fram till fullkomlighet , helighet .
s3774	I denna uppgift betraktas föräldrarna ibland som Guds medarbetare och medskapare .
s3784	Profan äktenskapssyn
s3794	Varför monogami ?
s3804	En röst ur den svenska debatten kring äktenskapet : vår moraliska uppfattning om äktenskapet är ' varken av Gud eller naturen given och det är därför möjligt att förändra den .
s3814	I filmen Min lycka skildrar Agnes Varda en man som lever i ett lyckligt äktenskap och samtidigt har ett lyckligt förhållande med en annan kvinna .
s3824	' Ett ögonblicks eftertanke skulle inte skada .
s3834	Hur går nu denna syn att förena med det faktum , att många äktenskap upplöses ?
s3844	Den ortodoxa kyrkans praxis innebär en kompromiss .
s3854	Man har efterhand kommit att acceptera ett annat skäl för skilsmässa och omgifte .
s3864	Ju fler värden man tillskriver äktenskapet , desto mer komplicerad blir frågan om skilsmässans berättigande .
s3878	Det utmärkande för den moderna situationen är att mannen och kvinnan gemensamt tvingas att fråga : hur ska vi fördela våra yrkes- och hemuppgifter ?
s3889	Genom sinnrikt konstruerade stånggånger kunde man överföra kraften från vattenhjulet till mer lämpligt belägna arbetsplatser .
s3899	Men nu kan vi också tillgodogöra oss den kraftutveckling , som sker vid kärnreaktioner .
s3909	Den grå zonen anger det ' normala ' sambandet .
s3919	Räknar man däremot bara med de viktigaste konventionella energikällorna , blir verkningsgraden väsentligt högre men överstiger dock inte 50 % .
s3929	Världens produktion och konsumtion av energi med fördelning på områden
s3939	Dessa människor skall främst försörjas med livsmedel .
s3949	Men om vi räknar med att alla världens länder skulle ha samma höga konsumtion per capita som USA , räcker tillgångarna bara ca 100 år .
s3959	Uppgifter
s3969	Särskilt produktionsförhållandet mellan oljan och stenkolet har bestämts av den tekniska utvecklingen .
s3979	Till de största i världen hör verket vid Frimmersdorf i ett brunkolsdistrikt vid Rhen .
s3989	De länder som måste importera fossila bränslen , använder i första hand oljedrift för sina värmekraftverk , t ex det svenska Stenungsundsverket .
s3999	Uppgifter
s4009	I varje grupp intar varje individ en särskild position , han har en viss status .
s4019	Hur fast sådana rollförväntningar är knutna till olika positioner , det växlar mellan olika grupper .
s4029	De flesta av de rollförväntningar vi har på varandra av könsrollskaraktär är inlärda och hör samman med den kultur vi lever i .
s4039	I undersökningen ingick också intelligenstest och kunskapsprov .
s4049	De fick göra en sådan bedömning 50 gånger var .
s4059	Den individuella tolkningen av situationen förändras i riktning mot den tolkning som utbildas i gruppen .
s4069	Ytterligare ett exempel kan belysa i huvudsak samma problematik .
s4079	Ingen av de studenter som gjorde sina bedömningar individuellt gjorde ens tillnärmelsevis så många fel .
s4089	Var och en av personerna förekom tillsammans med samtliga andra men endast en gång tillsammans med var och en av dem .
s4099	Grupptillhörighet leder till konformitet i många avseenden .
s4109	I många olika sammanhang är vi utsatta för denna konformitetstendens .
s4119	Målet för bostadspolitiken är att var och en ska ha möjlighet att skaffa en tillräckligt rymlig , tillräckligt modern och samtidigt välbelägen bostad .
s4129	Under 30-talet förändrades sakta synen på bostadsbyggandet .
s4139	Barnkullarna tenderade att öka och en fortsatt stark inflyttning från landsbygden till städerna kunde förväntas .
s4149	Hyrorna för hus som byggts före 1942 låstes fast vid den nivå som rådde detta år .
s4159	Så här kommer många lägenheter att byggas .
s4169	Instrumenten för detta är de stads- och byggnadsplaner kommunerna upprättar .
s4179	Lånevillkoren har varit så beskaffade att de har medverkat till att hålla bostadskostnaderna på rimlig nivå .
s4189	Man har från samhällets sida garderat sig mot att de fastighetsägare som utnyttjat statliga lån och bidrag genom höga hyror gjort sig oförtjänt stora vinster .
s4199	Vid mitten av 60-talet fanns den kvar på endast 160 ställen .
s4209	Som en följd av att hyrorna knutits till produktionskostnaderna har lägenheter med ungefär samma standard och läge kunnat ha avsevärt olika hyror därför att de haft olika byggnadsår .
s4219	Den fria hyressättningen begränsades samtidigt av att hyresregleringslagen fram till 1971 existerar jämsides med den nya lagen .
s4229	På grund av omflyttningen från landsbygd till stad , lägre giftermålsålder och ökade krav på bostadsstandard har köerna på många håll ändå inte visat tendens till minskning .
s4239	När marknadsmekanismen sätts ur spel , måste bostäderna fördelas efter andra grunder .
s4249	Ställer man däremot bestämda krav på lägenheternas beskaffenhet och storlek måste man bygga mer .
s4259	Elektronugn och diskmaskin ?
s4269	Ytterligare en miljon är arbetslösa men det syns inte i den officiella statistiken .
s4279	I runt tal 300000 löntagare , dvs. drygt var tionde , har 1970 under 6:50 i timmen .
s4289	De som råkar mest illa ut är de som inte kan få arbete , inte tillräckligt i varje fall , inte har pension , inte är gifta - och en stor grupp är i hög grad sjukliga men inte så sjuka att de får pension .
s4299	Fortfarande är socialhjälpen kringgärdad av en omfattande detaljgranskning och ett visst kineseri varför många känner motvilja , t. o. m. ångest , för att söka hjälp .
s4309	Folkpensioner , barnbidrag , bidragsförskott , sjukpenning m. m. drar 27 miljarder 1970 .
s4319	I och med att hälsan sviktar blir lönen ännu lägre och spiralen kommer i gång neråt .
s4329	Framställt av Utbildningsförlaget i samarbete med Försäkringsbolaget Trygg . -
s4339	Här måste ställas nya krav på företagarna och deras politik .
s4350	Om någon trots allt passerar eller kommer nära otrygghetens tröskel skall den hjälpande formen automatiskt träda i funktion .
s4360	De rika ländernas utvecklingshjälp till de fattiga länderna är egentligen inget annat än just en solidaritets- och socialpolitik på det internationella planet .
s4370	Men utbyggnaden är inte klar i något land och det kommer den inte någonsin att bli .
s4380	Detta är varje enskilds rättighet , men den kan realiseras bara om samhällets insatser i högre grad än hittills anpassar sig till dessa minoriteters och enskilda människors behov .
s4390	Självfallet medför denna förlängda skolgång - utbildningssamhället - ekonomiska påfrestningar både för familje- och statsbudgeten .
s4400	' När man absolut behöver så trodde jag ändå att det skulle gå att få en daghemsplats , sade en mamma i en intervju kring TV-pjäsen Väckarklockan .
s4410	Den expressiva funktionen utövas huvudsakligen av modern .
s4420	Båda könen anser att manlig dominans är vanligare än kvinnlig .
s4430	I praktiken , har man invänt , varierar olika familjer kraftigt sinsemellan när det gäller fördelningen av roller .
s4440	Burgess har betecknats som optimist :
s4450	Ingen av familjen lever med sitt hjärta i storstaden , de vistas där men brukar den inte ...
s4460	Hustrurna är värdinnor i stora vackra hem , ibland dessutom hårt arbetande hemslavinnor eftersom hemhjälp tryter .
s4470	Här är några exempel :
s4480	Som ett exempel från medelklassen kan vi ta köpmansfamiljen , där båda arbetar i ett eget blomstrande företag .
s4490	Hur mycket mannen hjälper till i hushållet beror på i vilken utsträckning hustrun förvärvsarbetar utanför hemmet .
s4500	Man får anta att det numera och speciellt i de yngre familjerna råder en något mer likformig arbetsfördelning .
s4510	Beteendet visar en viss flexibilitet .
s4520	Villkoret för ett socialt beteende är alltså ett visst samspel mellan individerna .
s4530	Om en elritsa i ett stim såras , utgör blodet i vattnet en skräcksignal för de övriga i stimmet .
s4540	Efter parbildningen deltar även honan i hävdandet av reviret .
s4550	Det finns emellertid även ' lågspänningsfiskar ' , t. ex. nilgäddan , som kontinuerligt utsänder impulser av omkring 5 volts spänning och med en frekvens av ca 300 per sekund .
s4560	En tumlare uppfattar svängningar upp till 150000 herz .
s4570	Om en trut börjar skrika mot en inkräktare , gör snart hela flocken detsamma .
s4580	En näbbattrapp med röd fläck gav fyra gånger så många pickningar per tidsenhet som en naturtrogen modell utan röd fläck .
s4590	Maktkampen utspelas i form av strider mellan de starkaste handjuren .
s4600	Solitära gnagare gräver t. ex. sämre gångsystem än de som lever i samhällen och faller därför lättare offer för rovdjur .
s4610	Hos samhällsbildande insekter , som för övrigt endast omfattar tre procent av alla insekter , har man genom studiet av bärnstensfaunan från Östersjöområdet kunnat spåra den sociala differentieringen tillbaka till tidig tertiär .
s4620	Risken för felprestationer blir också mindre .
s4630	Kampens dödliga utgång förhindras genom avväpningsställningar där den svagare reagerar på sådant sätt att den starkare avbryter striden .
s4640	Vid studiet av evolutionen berördes betydelsen av geografiska barriärer för artbildningen ( del 1 , s. 174 ) .
s4650	Honorna identifierar och lockas av den egna artens hanar ; parning sker med en av dem .
s4660	Vad är s. k. aptitbeteende ?
s4670	Redan nu är situationen prekär .
s4680	En av världens mest angelägna samarbetsuppgifter har under efterkrigstiden varit att försöka åstadkomma en försörjningsbalans så att industriländernas överskottsprodukter kan komma u-länderna tillgodo , samtidigt som möjligheter skapas för inhemsk industri i dessa länder .
s4690	Storbritannien , Frankrike och Västtyskland bidrog under samma tid med omkring 10 miljarder vardera .
s4700	WHO:s uppgift är u///uatt förebygga sjukdomar .
s4710	De länder om vilka tveksamhet oftast råder har på kartan givits en streckrandning .
s4720	1966 gick 0,64 procent av den svenska nationalinkomsten till u-länderna .
s4730	Vi har tidigare studerat staden ur historisk synpunkt och sökt peka på några olika drag under århundradenas gång .
s4740	du möter den inte enbart i antikens värld , t. ex. i de grekiska kolonistäderna på Sicilien .
s4750	garnisonsstaden ;
s4760	Har den utvecklats från en typ av stad till en annan ?
s4770	Redan på 1890-talet började Wienarkitekten Otto Wagner sträva efter att förvandla kvarterens inre till en trädgård med grönska och lekplatser .
s4780	I de mindre parkerna kom det franska idealet att få störst betydelse .
s4790	När har de skapats ?
s4800	Gör om möjligt ett besök på stadsarkitektkontoret och sök få en intervju med dem som arbetar där .
s4810	Ibland tilldelas exempelvis kvinnorna de kroppsligt tyngsta arbetena , ibland tilldelas dessa männen .
s4820	Av hävd har många vårdyrken kommit att betraktas som typiskt kvinnliga .
s4830	I Bibeln omtalas , att det i det gamla Israel inte var ovanligt att en man hade flera hustrur .
s4840	det går flera kvinnor på en man .
s4850	Både etiska och ekonomiska skäl gör , att monogami är den vanligaste familjeformen även utanför den kristna traditionen .
s4860	man skötte gårdens arbete tillsammans , man hade gemensam fritid , man gick tillsammans i kyrkan .
s4870	En tredje faktor som hör till äktenskapet är den kroppsliga samlevnaden .
s4880	Möjligheten att få del av denna njutning har i vår tid ökats genom preventivmedelsteknik .
s4890	Ett argument för denna ståndpunkt är att samhällsutvecklingen medfört , att äktenskap ingås först långt efter det att pojkar och flickor blivit sexuellt mogna .
s4900	Under 1960-talet har enligt kriminalstatistikens siffror antalet ' brott som kommit till polisens kännedom ' ökat från ca 275000 ( 1960 ) till ca 440000 ( 1967 ) , dvs. med ca 60 % .
s4910	Brottsligheten i Sverige utgörs till stor del av ungdomsbrottslighet .
s4920	' Nio pojkar av tio eller 92 % av Stockholms skolpojkar mellan 9 och 14 år har gjort sig skyldiga till brott av något slag .
s4930	Detta syfte skulle nås genom ett klart utformat system av straff i proportion till brottets svårighetsgrad .
s4940	Saken kan ses ur flera synpunkter :
s4950	Se vidare Brottsbalken kap. 8 ( stöld , rån och andra tillgreppsbrott ) ; Sverige m. fl. , kap. 1 ; Nelson , kap. De särskilda brotten .
s4960	Se SOU 1964 : 58 , kap. 4 ; Blomberg , kap. 3 ; Eriksson , Kap. Samhället och ungdomsbrottslingarna .
s4970	Låt mig börja från början - grunden för en harmonisk samlevnad - dvs individens förutsättningar för anpassning till andra individer .
s4980	I denna de 20- - 30-åriga hemmafruarnas värld växer barnen upp .
s4990	Barn som saknar förmäga till kontakt med äldre generationer som de endast stött på till högtider och helger i form av far och morföräldrar .
s5000	Man torde väl kunna säga att de flesta människor i vårt land är överens om att denna syn är principiellt riktig , alldeles bortsett från hur man sedan motiverar den .
s5010	Liksom varje civilisation har vissa former för familjebildning och äktenskapets ingående , finns det också olika möjligheter att genom skilsmässa upplösa ett bestående äktenskap och ingå ett nytt .
s5020	Det är ur flera synpunkter inte särskilt väl anpassat till vår kultursituation .
s5030	Den sexuella aktiviteten är särpräglad och betingad av drifts- och känslolivet i en utsträckning som delvis genombryter varje etisk besnning .
s5040	Dessutom innebär den ofta ett återfall i kasuistik etik som lägger större vikt vid den formella situationen än vid den personliga avgörelsen .
s5050	Kyrkans uppgift - att övertyga
s5060	Jag försöker tålmodigt förklara atl del inte är fråga om att ' hjälpa till ' , atl man lika gärna kunde berömma min fru för atl hon ' hjälper ' mig .
s5070	När vi senare ska ut i förvärvslivet blir det sannolikt mer komplicerat .
s5080	Vägen till ' valfriheten ' är sannerligen inte lätt och vi behöver all hjälp vi kan få av principerna .
s5090	Det kändes mycket tillfredsställande .
s5100	Han använder detta som ett argument mot en konsekvent tudelning av barnavården som han säger inte får bli ' ett självändamål , där barnet blir ett slagträ i emancipationsstriden ' .
s5110	De äldre rollmodellerna är seglivade , bl. a. beroende på deras förankring i tidig socialisation .
s5120	Bortsett från familjen och i någon mån arbetsgruppen är det huvudsakligen medlemskap i sekundära grupper , massbildningar , organisationer , tillfälliga bekantskaper och anonyma församlingar som karakteriserar individens kontakter och samvaro med andra .
s5130	Man tillskriver familjen nya botande och kurativa funktioner i en hård värld av stora anonyma sociala enheter med vilken individen inte förmår uppleva meningsfulla relationer .
s5140	Genom att avbryta yrkeskarriären förlorar kvinnan kontakten med arbetsgruppen och andra sekundära grupprelationer och riskerar att hämmas i sin utveckling i en ålder då människors liv i regel är som mest expansivt .
s5150	I Svenska kyrkans vigselritual formuleras detta i två ord :
s5160	Å andra sidan följer härav , att där viljan till och längtan efter att ' vara fruktsamma ' inte finns hos två makar , är vet inte längre tal om ett äktenskap på biblisk grund .
s5170	Av dessa syften är det ( förutom det primära syftet med släktets förökelse ) undvikandet av otukt , som kanske tilldragit sig den största uppmärksamheten i tidigare framställningar om äktenskapet .
s5180	1 I Kor. 7 : 2 .
s5190	man tycker om och ' älskar ' det som är vackert , tilldragande , sexuellt upphetsande , i alla betydelser älskvärt .
s5200	Det är i stället i den mån , som Kristi kärlek får prägla jaget , som kärleken mellan man och kvinna kan förverkligas .
s5210	Syftet med äktenskapet enligt bibeln och luthersk katekestradition blir , för att sammanfatta : 1. förökelsen av människosläktet 2. motverkandet av otukt 3. utlevandet av genuint kristen kärlek ' såsom Kristus har älskat '
s5220	I framställningar av äktenskapsetik på lutherskt område brukar det ofta påminnas om att Luther ansåg äktenskapet vara ' ett världsligt ting ' .
s5230	Vad konstituerar äktenskapet ?
s5240	Det är helt klart att vi här har en fråga , där man kan tänka sig skiftande praxis i olika samhällssystem , och där dessa skiftningar inte i och för sig behöver tillmätas någon etisk relevans .
s5250	Vi har här en parallell till abortfrågans ställning i kristen etik .
s5260	Eller man gifter sig bara för ett barns skull - något som är mindre vanligt nu än förr , men som inte minst från kristen synpunkt måste anses orimligt .
s5270	Sådana motiv ges i en kristen livssyn , men den som säger nej till denna har naturligtvis ingen glädje av dessa motiv .
s5280	Dock är det samtidigt begripligt om kristna blir misstänksamma mot en del sådan rådgivning , eftersom man i sådana och liknade sammanhang - som tidigare antytts - ofta oklart sammanblandar fakta och värderingar .
s5290	Från kristen synpunkt är ett äktenskap en av de mest genomgripande satsningar en människa kan göra , och den kristna etiken är såtillvida optimistisk i sin människosyn , att den tror att människor har mycket stora möjligheter att växa samman och anpassa sig till varann om de uppriktigt önskar göra det .
s5300	Flickan får därigenom en mer positiv inställning till och större förståelse för det motsatta könet och pojken får en bra manlig identifiering .
s5310	De som försvarar de förvärvsarbetande mödrarna ser i stället dessa kvinnors barn som mer ansvarsfulla , lyckligare och självständigare än hemmamammans , som blir överbeskyddade och osäkra .
s5320	Det är här som diskussionen kört fast .
s5330	Här i landet låter vi oftast våra barn vänta till 6 eller rent av till 7 års ålder innan får dessa erfarenheter .
s5340	Så som samhället nu är inrättat är det svårare att få kvalificerat arbete om man vill ha deltidstjänst .
s5350	' Grunden för vårt system är mycket enkel : att göra motsatsen mot vad vi själva erfor eller lärde oss som barn . '
s5360	I en vanlig familj är barnen helt utlämnade åt eventuella misstag och försummelser från föräldrarnas sida och , vad mera är , de kan få hela sitt liv upp och nedvänt om föräldrarna skulle skilja sig eller dö och lämna barnen utan någon fast punkt .
s5370	'
s5380	Men för barnens del är det annorlunda .
s5390	Flera vetenskapsmän har gjort det , särskilt sociologer och psykologer , som i kibbutzerna sett ett enastående forskningsfält för att testa hypoteser om miljöeffekter på personlighets-utveckling och för att få uppslag till nya frågeställningar .
s5400	7. För en närmare beskrivning av testmetoderna och resultaten , se A. I. Rabin : Infants and Children under Conditions of ' Intermittent ' Mothering in the Kibbutz .
s5410	För att besvara de frågorna jämförde Rabin på liknande sätt en grupp 10-åriga kibbutzbarn med jämnåriga moshavbarn och fick som resultat en rakt motsatt trend .
s5420	Rabin , och många forskare med honom , anser att resultaten ger belägg för att kibbutzbarn inte tar skada av den kollektiva uppfostran , att de tvärtom verkar välanpassade , självständiga och jämförelsevis tidigt utvecklade med undantag för de yngsta barnen .
s5430	Dubbelarbetande eller enbart hemarbetande ?
s5440	Så hårda inkomst och medborgarstreck hade tidigare begränsat rösträtten att den knappast kunde kallas för allmän ens för männen .
s5450	Kvinnan har sålunda långt att gå innan hon vinner det politiska inflytande hennes ställning i samhällsarbetet och vid rösturnorna motiverar .
s5460	Man kan inte finna något arbetsområde där män och kvinnor fördelar sig slumpmässigt lika med avseende på funktion , lön och ställning .
s5470	Nästan ännu mera könsuppdelat är valet av yrke ute i det praktiska arbetslivet .
s5480	Inom alla de politiska partierna finns en allmän liknöjdhet beträffande kvinnans jämlikhetskrav och ett motsvarande ointresse finns också inom arbetsmarknadens stora , miljonomslutande organisationer .
s5490	Konventionerna kräver idag liksom tidigare , då det var en både social och ekonomisk nödrändighet , att kvinnan ska gifta sig och helst tidigt .
s5500	Men det är lång väg innan så sker .
s5510	I och med att kvinnan axlar mer krävande uppgifter får hon högre lön .
s5520	Kvinnofrågan är i första hand en fråga om individens rätt , kvinnans rätt att själv bestämma över sitt liv som moder , maka och förvärvsarbetande , antingen dessa roller förverkligas samtidigt eller var för sig under bestämda perioder .
s5530	Detta förutan begår de flesta kvinnor , mer eller mindre medvetet , ett slags naturligt förräderi mot sin egen sak .
s5540	När någon efteråt uttryckte sin förvåning över flickornas passivitet förklarade en lärare att ingen av dem ville riskera att anses okvinnlig - i konkurrensen om pojkarnas gunst .
s5550	Vi kan söka påverka mannens uppfattning om sin roll i samhället .
s5560	De driver den tesen så hårt att vi snart blir Tvungna att göra samma saker .
s5570	Den kvinnliga sexualiteten kanaliseras till mer vårdande och personlighetsinriktade aktiviteter .
s5580	Vi måste så hårt understryka det väsentliga och betydelsefulla i vårdandet av den nya generationen , att männen får en önskan att tränga in på ' vårt ' område , att få vara med om detta det mest fascinerande i människolivet , att leda , hjälpa och forma en ny människa .
s5590	Vi lever allt fler år , håller oss vitala upp i allt högre åldrar .
s5600	Ännu har vi tid att ändra den väg vi är inne på .
s5610	Jag läste någonting i en aftontidning igår som snuddade vid jämlikhetsproblemet .
s5620	Moderskapet har framställts som kvinnans första uppgift i livet och kanske också den enda .
s5630	Kvinnan borde basera sitt liv på sina egna personliga prestationer .
s5640	Hur löser man bäst barntillsynsproblemen ?
s5650	För utlänningar är det ju roligt att berätta - för de uppskattar det - att våra pojkar har hemkunskap i sjuan .
s5660	Kvinnorna har praktiskt taget ingen möjlighet att nå de höga befattningarna inom industrin , inte ens någon mellanposition utom i undantagsfall .
s5670	Det har blivit så att kvinnorna är livlösa .
s5680	Och nu fortsätter dom att bygga hus med 100 små spisar och 100 diskhoar .
s5690	Det var efter jag hade slutat kursen som jag fick lära mig livets hårda sida .
s5700	Det drar man på lönen direkt , nämligen .
s5710	När jag började i kiosken fick jag ett helt annat människovärde .
s5720	Jag blir så arg på maken .
s5730	Kvinnorna är inte något vidare aktiva annars .
s5740	Likadant med utlänningarna .
s5750	I Svenska Dagbladets debatt använde man den falska motsättningen rent politiskt , för att genom en konstruerad lojalitet ' hemmafruar emellan ' driva fram en konservativ opinion mot Strängs skatteförslag .
s5760	Dom tvingas bära den dubbelarbetandes alla bördor i ett samhälle , där utbyggnaden av kollektiv barnpassning och hemservice misskötts katastrofalt - bl. a. på grund av de privilegierade hemmafruarnas svek .
s5770	De är goda konsumenter som håller produktionen uppe .
s5780	För det är just det det är frågan om .
s5790	Så har också omvärldens attityder och värderingar gjort i generationer .
s5800	arbete
s5810	Avlöning , säger någon , visst får jag avlöning , min man lägger alla pengarna på bordet då han kommer hem på avlöningsdagen .
s5820	Rätt till lika delning av egendomen i boet vid äktenskapets upplösning har för de flesta människor i dagens samhälle ingen större betydelse .
s5830	Bristen på välplanerade bostadsområden med serviceinrättningar av olika slag , butikers , daghems och andra serviceorgans öppethållande och placering ger yrkeskvinnan en helt orimlig arbetsbörda .
s5840	Jag fick nyligen en liten skrift i min hand .
s5850	Pappa , mamma , barn , det är de första roller vi leker oss in i - och vi har svårt att tänka oss dem annorlunda än så som vi upplevde dem från början .
s5860	Trots daghemmens otillräckliga resurser , framför allt personella , visar en färsk undersökning att daghemsbarn är självständigare , mindre ängsligt beroende och mer realitetsanpassade än barn som uppfostras i hemmet .
s5870	Barnen kände trygghet i gruppen och växte upp i en hos oss okänd frihet från ångest och neuroser .
s5880	Och vi måste bort från anstalten där barnen förskockas , tröttas ut och tvingas rivalisera om några få vuxna som inte orkar svara dem alla - en enkönad , avemotionaliserad , också den isolerad miljö utan anknytningar till världen utanför .
s5890	Nog törs vi t ex ifrågasätta om alla våra bostadsområden måste se ut som de gör : travar med likadana topputrustade enheter centrerade kring snabbköp , kiosk och parkeringsplats ?
s5900	Barnens hus tänker jag mej hellre av modell äldre villa med stora och små rum , fantasieggande prång och skrubbar , dit man kan dra sej tillbaka i ensamhet eller med sin bästis , än som hyperhgieniska och lättstädade lokaler där allt har sitt fastställda ändamål .
s5910	Barnen bor i ' sin ' gård , men gästar föräldrarna när de vill - och barnens hus har plats för gästande föräldrar .
s5920	Detta innebär inte att förhållandena är oförändrade i andra länder , som exempel kan nämnas den nya synen på skilsmässa i Italien .
s5930	Enligt direktiven skall lagstiftningen ses som ett medel att påverka utvecklingen och därjämte förändra samhällstrukturen mot ett samhälle där varje vuxen kan ta ansvar för sig själv utan ekonomiskt beroende av anhöriga .
s5940	I ett förhållande är aldrig bägge parter lika starka .
s5950	Kärlekens innersta väsen lär inte något politiskt parti kunna påverka , men formerna för dess yttringar kan alltid regleras i lag .
s5960	Äktenskapet är ett avtal , och ett bindande avtal .
s5970	Om man emellertid är helt övertygad om att den för alla parter bästa samlevnadsformen är äktenskapet , så innebär det inte att man gör moraliska värderingar .
s5980	I stället bör man undersöka huruvida inte en registrering skulle kunna utgöra det konstitutiva momentet vid äktenskapets ingående .
s5990	Själva avtalet måste emellertid vara det konstitutiva elementet , inte registreringen av detsamma .
s6000	Arvsrätt och giftorätt finns inte .
s6010	Familjelagstiftningen är egentligen inte begränsad till äktenskapet .
s6020	Genom att försvaga äktenskapet ökar vi dessa företeelser och vi gör dem urarva .
s6030	Därmed är det också i allmänhet våra känslor som får fälla utslaget vid valet av make .
s6040	Den patriarkaliska familjen som ideal
s6050	Man kan ju undra hur samlevnaden tar sig ut om den ena parten i ett äktenskap helhjärtat håller på husbondevälde och den andra på den likställighet som enligt svensk lag skall råda mellan makar .
s6060	Vårt ideal i dag är ett samspel mellan jämlikar .
s6070	Många familjer tillämpar en ansvars- och arbetsfördelning som bär drag av en tid då mannen var familjens överhuvud och kvinnan betraktades som beroende och beskyddad ; mannen svarar för försörjningen och ger familjen dess ställning , hustrun står för hushåll och barnomsorger .
s6080	Hur ser ni på den äldre generationens förhållande till den yngre i dagens samliv ?
s6090	Kvinnor avbryter nämligen gärna sin utbildning och sina studier på halva vägen , de utvecklar inte sina anlag och tränar inte sin intelligens till fullo , de struntar i mänsklighetens stora problem och tar ingen eller ringa del i kulturens överbyggnader ( vetenskap och forskning till exempel ) , de gifter sig och binder sig och stagnerar mer eller mindre i sin passiva kvinnoroll .
s6100	Allt detta kommer att ta sin tid ty man måste börja med att låta flickorna växa till i ålder , visdom och medansvar i stället för att som nu hämmas i sin utveckling genom att man tilldelar dem den ovärdiga rollen som mannekäng och kläddocka på världens arena .
